City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
136,lenbe,19.7,-72.4,23.55,68,0,2.79,HT,1711975158
137,bredasdorp,-34.5322,20.0403,22.07,43,1,10.56,ZA,1711975158
138,yorkton,51.2167,-102.4677,-5.09,80,75,4.63,CA,1711975158
139,college,64.8569,-147.8028,-1.55,75,100,2.06,US,1711975158
140,mzimba,-11.9,33.6,22.9,76,95,3.13,MW,1711975158
141,barranca,-10.75,-77.7667,22.02,82,41,2.16,PE,1711974980
142,yanam,16.7333,82.2167,28.15,68,84,4.4,IN,1711975158
143,salekhard,66.53,66.6019,-3.7,88,97,3.57,RU,1711974774
144,selfoss,63.9331,-20.9971,-2.2,40,0,12.7,IS,1711975158
145,sandnessjoen,66.0217,12.6316,3.29,65,75,6.17,NO,1711974770
146,kijang,35.2442,129.2139,14.9,64,0,3.47,KR,1711975158
147,niafunke,15.9322,-3.9906,43.1,9,7,4.81,ML,1711975158
148,tandalti,13.0167,31.8667,37.76,6,100,2.25,SD,1711975158
149,volodarskiy,46.4013,48.5409,19.97,32,4,4.65,RU,1711975158
150,san patricio,28.017,-97.5169,23.24,91,100,6.66,US,1711975158
151,afaahiti,-17.75,-149.2833,25.93,81,100,9.9,PF,1711975158
152,ola,59.5833,151.2833,-9.21,81,99,4.41,RU,1711975158
153,tionk essil,12.7856,-16.5217,34.03,17,0,3.87,SN,1711975158
154,obo,5.3998,26.4869,36.07,28,100,1.32,CF,1711975159
155,ribeira grande,38.5167,-28.7,18.22,82,20,10.8,PT,1711975159
156,khorixas,-20.3667,14.9667,32.28,26,67,2.31,NA,1711975159
157,montmagny,48.9734,2.3469,15.68,78,75,5.14,FR,1711975159
158,aasiaat,68.7098,-52.8699,-2.07,79,100,2.47,GL,1711975159
159,touros,-5.1989,-35.4608,29.69,66,92,1.4,BR,1711975159
160,annau,37.8876,58.516,16.72,39,100,4.12,TM,1711974861
161,susuman,62.7833,148.1667,-19.45,100,80,1.34,RU,1711975159
162,luderitz,-26.6481,15.1594,23.76,56,0,11.31,NA,1711975159
163,khenifra,32.9333,-5.6667,15.21,73,74,1.86,MA,1711975159
164,charters towers,-20.1,146.2667,22.66,76,97,3.77,AU,1711975159
165,gangtok,27.3333,88.6167,16.6,72,97,1.49,IN,1711975159
166,crane,31.3974,-102.3501,18.09,37,95,1.58,US,1711975159
167,alaghsas,17.0187,8.0168,41.94,7,0,5.14,NE,1711974782
168,kavieng,-2.5744,150.7967,27.89,80,100,4.75,PG,1711975159
169,berezovo,63.9381,65.0419,-0.57,82,60,4.7,RU,1711974793
170,villa emilio carranza,19.9667,-96.6,24.96,76,2,3.97,MX,1711975159
171,korsakov,46.6328,142.7813,-2.09,84,92,2.86,RU,1711975160
172,mae hong son,19.3003,97.9685,30.37,30,0,0.67,TH,1711975160
173,new norfolk,-42.7826,147.0587,15.95,94,100,1.1,AU,1711975160
174,vorgashor,67.5833,63.95,-11.53,94,13,4.39,RU,1711975160
175,vernon,50.2581,-119.2691,4.61,70,99,1.03,CA,1711974761
176,lebu,-37.6167,-73.65,11.87,64,97,4.02,CL,1711975160
177,ulanhot,46.0833,122.0833,2.25,29,100,2.83,CN,1711975160
178,lihue,21.9789,-159.3672,22.77,80,75,6.17,US,1711975151
179,suva,-18.1416,178.4415,24.71,94,40,0.0,FJ,1711975160
180,la pesa,7.4954,-72.3818,12.9,74,98,1.33,VE,1711975160
181,malango,-2.9627,119.9001,21.27,98,100,0.94,ID,1711975160
182,novyy urgal,51.0736,132.5642,-7.26,95,9,0.85,RU,1711975160
183,byron bay,-28.65,153.6167,19.28,81,18,0.73,AU,1711975009
184,emmett,43.8735,-116.4993,5.65,64,0,0.45,US,1711975160
185,greenville,35.6127,-77.3663,18.41,80,0,3.6,US,1711974934
186,el granada,37.5027,-122.4694,10.75,91,75,1.54,US,1711975160
187,altai,46.3722,96.2583,0.51,31,100,1.89,MN,1711975160
188,la'ie,21.6477,-157.9253,23.98,82,100,3.13,US,1711975160
189,coronel suarez,-37.4547,-61.9334,14.75,49,0,1.8,AR,1711975160
190,pisco,-13.7,-76.2167,20.03,88,0,2.06,PE,1711975160
191,hawaiian paradise park,19.5933,-154.9731,19.46,96,40,2.06,US,1711975160
192,vadso,70.0744,29.7487,-3.51,68,20,9.26,NO,1711974757
193,bay roberts,47.5999,-53.2648,2.81,84,100,2.68,CA,1711975161
194,chibougamau,49.9168,-74.3659,-9.21,86,100,1.03,CA,1711975161
195,dehloran,32.6941,47.2679,28.8,18,0,3.41,IR,1711975161
196,qarazhal,48.0078,70.7903,7.68,56,58,1.67,KZ,1711975161
197,oltiariq,40.3919,71.4742,18.86,20,100,1.09,UZ,1711975161
198,daru,-9.0763,143.2092,26.66,87,100,4.19,PG,1711974774
199,howrah,22.5892,88.3103,36.0,32,3,2.06,IN,1711975161
200,carnarvon,-24.8667,113.6333,26.97,62,83,9.09,AU,1711975161
201,nar'yan-mar,67.6713,53.087,-9.38,87,100,4.92,RU,1711975161
202,newman,37.3138,-121.0208,8.87,93,18,2.24,US,1711975161
203,port douglas,-16.4833,145.4667,24.83,86,100,3.77,AU,1711975161
204,pelotas,-31.7719,-52.3425,23.01,83,100,6.17,BR,1711975140
